#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 30 days. These proxies have
# a 93.6% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Mon Jul 27 02:00:43 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
103.178.14.67,entry is 103.178.14.98
103.178.171.177,
103.178.176.14,entry is 161.248.176.2
103.178.194.131,entry is 103.165.155.196
103.178.194.133,
103.178.194.218,entry is 103.165.155.195
103.178.21.104,
103.178.23.4,entry is 103.178.23.6
103.178.3.243,entry is 103.156.16.55
103.178.42.14,entry is 103.178.42.23
103.178.86.66,entry is 103.66.47.9
103.178.86.86,
103.178.88.102,
103.179.125.134,entry is 103.158.11.209
103.179.172.167,
103.179.218.7,
103.179.252.153,
103.179.252.165,
103.179.252.229,
103.179.252.74,
103.179.253.11,
103.179.253.25,
103.179.84.57,entry is 38.46.233.146
103.18.113.5,
103.18.232.4,
103.18.47.78,entry is 103.18.47.79
103.18.77.110,
103.18.77.14,
103.18.77.24,
103.18.77.55,
103.18.77.6,
103.18.78.35,
103.18.78.37,
103.18.79.188,
103.18.79.189,
103.180.118.150,
103.180.118.207,entry is 103.19.78.205
103.180.118.99,
103.180.119.207,entry is 103.180.119.77
103.180.122.62,
103.180.122.64,
103.180.123.103,
103.180.123.111,
103.180.123.183,
103.180.123.229,
103.180.123.27,
103.180.123.47,
103.180.126.138,
103.180.126.162,entry is 103.180.126.166
103.180.126.180,entry is 103.180.126.178
103.180.126.20,
103.180.126.236,
103.180.126.242,
103.180.126.38,entry is 103.180.126.114
103.180.126.42,
103.180.126.53,entry is 103.180.126.51
